#nucleus-nld-mass-strength-omp 167Bi-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 8.45511E-09 0.00000E+00 2.20421E-16
2.00000E-03 6.39365E-13 8.45461E-09 3.21380E-20 1.76347E-15
5.00000E-03 1.59841E-12 8.45313E-09 1.25539E-18 2.75593E-14
1.00000E-02 3.19683E-12 8.45064E-09 2.00863E-17 2.20542E-13
2.00000E-02 6.39372E-12 8.44566E-09 3.21384E-16 1.76541E-12
5.00000E-02 1.59853E-11 8.43054E-09 1.25549E-14 2.76346E-11
1.00000E-01 3.19781E-11 8.40488E-09 2.00924E-13 2.21743E-10
2.00000E-01 6.40155E-11 8.35203E-09 3.21777E-12 1.78453E-09
3.00000E-01 9.61716E-11 8.29753E-09 1.63151E-11 6.05831E-09
4.00000E-01 1.28507E-10 8.24187E-09 5.16756E-11 1.44443E-08
5.00000E-01 1.61081E-10 8.18557E-09 1.26513E-10 2.83753E-08
6.00000E-01 1.93957E-10 8.12910E-09 2.63232E-10 4.93164E-08
7.00000E-01 2.27197E-10 8.07296E-09 4.89639E-10 7.87661E-08
8.00000E-01 2.60865E-10 8.01765E-09 8.39202E-10 1.18258E-07
9.00000E-01 2.95029E-10 7.96367E-09 1.35136E-09 1.69363E-07
1.00000E+00 3.29756E-10 7.91153E-09 2.07192E-09 2.33693E-07
1.10000E+00 3.65116E-10 7.86173E-09 3.05344E-09 3.12901E-07
1.20000E+00 4.01184E-10 7.81480E-09 4.35579E-09 4.08691E-07
1.30000E+00 4.38035E-10 7.77126E-09 6.04670E-09 5.22814E-07
1.40000E+00 4.75749E-10 7.73164E-09 8.20241E-09 6.57081E-07
1.50000E+00 5.14409E-10 7.69649E-09 1.09084E-08 8.13365E-07
1.60000E+00 5.54104E-10 7.66635E-09 1.42604E-08 9.93606E-07
1.70000E+00 5.94924E-10 7.64180E-09 1.83649E-08 1.19982E-06
1.80000E+00 6.36968E-10 7.62342E-09 2.33408E-08 1.43411E-06
1.90000E+00 6.80336E-10 7.61179E-09 2.93200E-08 1.69866E-06
2.00000E+00 7.25138E-10 7.60752E-09 3.64494E-08 1.99576E-06
2.20000E+00 8.19510E-10 7.62360E-09 5.48280E-08 2.69737E-06
2.40000E+00 9.21090E-10 7.67687E-09 8.00047E-08 3.55969E-06
2.60000E+00 1.03102E-09 7.77291E-09 1.13859E-07 4.60584E-06
2.80000E+00 1.15059E-09 7.91766E-09 1.58699E-07 5.86178E-06
3.00000E+00 1.28129E-09 8.11755E-09 2.17366E-07 7.35684E-06
3.20000E+00 1.42480E-09 8.37947E-09 2.93349E-07 9.12441E-06
3.40000E+00 1.58306E-09 8.71095E-09 3.90943E-07 1.12027E-05
3.60000E+00 1.75825E-09 9.12014E-09 5.15430E-07 1.36355E-05
3.80000E+00 1.95289E-09 9.61598E-09 6.73299E-07 1.64734E-05
4.00000E+00 2.16976E-09 1.02082E-08 8.72511E-07 1.97750E-05
4.50000E+00 2.83032E-09 1.21842E-08 1.62052E-06 3.05301E-05
