#data imported from #https://www.nndc.bnl.gov/astro/calcmacs.jsp
modn	nucleus	model	cntry	year	reac	kT	MACS	ngamma
1	67-Ho-165	ENDF/B-VIII.0 	USA 	2006	(nγ)	0.86173333	1.295E4	9.223E9
2	67-Ho-165	ENDF/B-VII.1 	USA 	2011	(nγ)	0.86173333	1.295E4	9.223E9
3	67-Ho-165	JEFF-3.1 	Europe 	2005	(nγ)	0.86173333	1.285E4	9.223E9
4	67-HO-165	ENDF/B-VI.8 	USA 	2001	(nγ)	0.86173333	1.285E4	9.223E9
5	67-Ho-165	ROSFOND 	RUSSIA 	2008	(nγ)	0.86173333	1.295E4	9.223E9
1	67-Ho-165	ENDF/B-VIII.0 	USA 	2006	(nγ)	4.30866663	4.19E3	9.223E9
2	67-Ho-165	ENDF/B-VII.1 	USA 	2011	(nγ)	4.30866663	4.19E3	9.223E9
3	67-Ho-165	JEFF-3.1 	Europe 	2005	(nγ)	4.30866663	4.207E3	9.223E9
4	67-HO-165	ENDF/B-VI.8 	USA 	2001	(nγ)	4.30866663	4.207E3	9.223E9
5	67-Ho-165	ROSFOND 	RUSSIA 	2008	(nγ)	4.30866663	4.19E3	9.223E9
1	67-Ho-165	ENDF/B-VIII.0 	USA 	2006	(nγ)	8.61733	2.699E3	9.223E9
2	67-Ho-165	ENDF/B-VII.1 	USA 	2011	(nγ)	8.61733	2.699E3	9.223E9
3	67-Ho-165	JEFF-3.1 	Europe 	2005	(nγ)	8.61733	2.705E3	9.223E9
4	67-HO-165	ENDF/B-VI.8 	USA 	2001	(nγ)	8.61733	2.705E3	9.223E9
5	67-Ho-165	ROSFOND 	RUSSIA 	2008	(nγ)	8.61733	2.699E3	9.223E9
1	67-Ho-165	ENDF/B-VIII.0 	USA 	2006	(nγ)	12.9260	2.127E3	9.223E9
2	67-Ho-165	ENDF/B-VII.1 	USA 	2011	(nγ)	12.9260	2.127E3	9.223E9
3	67-Ho-165	JEFF-3.1 	Europe 	2005	(nγ)	12.9260	2.13E3	9.223E9
4	67-HO-165	ENDF/B-VI.8 	USA 	2001	(nγ)	12.9260	2.13E3	9.223E9
5	67-Ho-165	ROSFOND 	RUSSIA 	2008	(nγ)	12.9260	2.127E3	9.223E9
1	67-Ho-165	ENDF/B-VIII.0 	USA 	2006	(nγ)	17.2347	1.81E3	9.223E9
2	67-Ho-165	ENDF/B-VII.1	USA 	2011	(nγ)	17.2347	1.81E3	9.223E9
3	67-Ho-165	JEFF-3.1 	Europe 	2005	(nγ)	17.2347	1.812E3	9.223E9
