161Dy(3He,3He')161Dy from Renstroem et al., PRC 98, 054310 (2018)
Data first presented in Guttormsen et al., PRC 68, 064306 (2003)
The err is the uncertainty straight out from rhosigchi.f
The err_tot includes normalization uncertainties in D0,<Gg> and the spin distribution
ACL, 4 April 2019
Eg(MeV)	 f(MeV^-1)	 err(MeV^-1)	 err_tot(MeV^-1)
1.100	 1.6425E-08	 1.1672E-09	 2.8374E-09
1.220	 2.0874E-08	 1.1501E-09	 3.3285E-09
1.340	 1.9799E-08	 9.3441E-10	 2.9639E-09
1.460	 1.6665E-08	 9.2667E-10	 2.4300E-09
1.580	 1.5416E-08	 9.1818E-10	 2.1749E-09
1.700	 1.7730E-08	 8.8129E-10	 2.3264E-09
1.820	 2.1295E-08	 7.9470E-10	 2.5849E-09
1.940	 2.4971E-08	 9.0217E-10	 2.8960E-09
2.060	 2.8554E-08	 7.6449E-10	 3.1120E-09
2.180	 3.0078E-08	 8.7223E-10	 3.1879E-09
2.300	 3.5307E-08	 9.3456E-10	 3.6252E-09
2.420	 3.7147E-08	 1.0599E-09	 3.7752E-09
2.540	 4.1790E-08	 9.8772E-10	 4.1730E-09
2.660	 4.6806E-08	 1.2137E-09	 4.7302E-09
2.780	 4.6885E-08	 1.2085E-09	 4.8193E-09
2.900	 4.7835E-08	 1.3202E-09	 5.0762E-09
3.020	 4.7032E-08	 1.5053E-09	 5.2294E-09
3.140	 4.4907E-08	 1.5978E-09	 5.2539E-09
3.260	 4.5437E-08	 1.3595E-09	 5.4994E-09
3.380	 4.5667E-08	 1.6003E-09	 5.8779E-09
3.500	 4.5172E-08	 1.5899E-09	 6.1308E-09
3.620	 4.5507E-08	 2.0779E-09	 6.6523E-09
3.740	 4.8830E-08	 1.7789E-09	 7.4021E-09
3.860	 5.2958E-08	 2.4690E-09	 8.6150E-09
3.980	 5.3693E-08	 2.7879E-09	 9.2842E-09
4.100	 5.7211E-08	 2.7865E-09	 1.0356E-08
4.220	 6.0960E-08	 3.4807E-09	 1.1746E-08
4.340	 6.8277E-08	 3.8815E-09	 1.3802E-08
4.460	 7.5493E-08	 4.1574E-09	 1.5964E-08
4.580	 7.7268E-08	 5.5259E-09	 1.7476E-08
4.700	 8.0500E-08	 5.6134E-09	 1.8974E-08
4.820	 8.8753E-08	 7.2364E-09	 2.2153E-08
4.940	 8.2178E-08	 7.7463E-09	 2.1714E-08
5.060	 9.3776E-08	 8.6019E-09	 2.5671E-08
5.180	 9.7390E-08	 9.6938E-09	 2.7947E-08
5.300	 1.2317E-07	 1.0807E-08	 3.6202E-08
5.420	 1.2982E-07	 1.4669E-08	 4.0647E-08
5.540	 1.4788E-07	 1.6300E-08	 4.7764E-08
5.660	 1.5131E-07	 1.8084E-08	 5.1027E-08
5.780	 2.1686E-07	 2.3808E-08	 7.4844E-08
5.900	 2.0236E-07	 2.9454E-08	 7.4686E-08
6.020	 1.9760E-07	 3.5835E-08	 7.8109E-08
6.140	 1.7376E-07	 3.4363E-08	 7.1891E-08
6.260	 2.9406E-07	 4.4714E-08	 1.1918E-07
6.380	 2.4672E-07	 7.0151E-08	 1.1870E-07
6.500	 3.3754E-07	 9.4922E-08	 1.6520E-07
