162Dy(3He,alpha)161Dy from Renstroem et al., PRC 98, 054310 (2018)
Data first presented in Guttormsen et al., PRC 68, 064306 (2003)
The err is the uncertainty straight out from rhosigchi.f
The err_tot includes normalization uncertainties in D0,<Gg> and the spin distribution
ACL, 4 April 2019
Eg(MeV)	 f(MeV^-1)	 err(MeV^-1)	 err_tot(MeV^-1)
1.232	 1.5228E-08	 2.1913E-09	 3.6823E-09
1.354	 1.9699E-08	 1.9521E-09	 4.1574E-09
1.475	 2.0457E-08	 1.7126E-09	 4.0334E-09
1.597	 1.7711E-08	 1.7406E-09	 3.4912E-09
1.719	 2.0188E-08	 1.8703E-09	 3.7936E-09
1.840	 1.9906E-08	 1.8400E-09	 3.6158E-09
1.962	 2.3581E-08	 2.0687E-09	 4.0892E-09
2.083	 2.6524E-08	 2.0748E-09	 4.3276E-09
2.204	 3.3047E-08	 2.2252E-09	 5.0517E-09
2.326	 3.5240E-08	 2.7472E-09	 5.3968E-09
2.448	 4.2648E-08	 2.7721E-09	 6.0847E-09
2.569	 4.4148E-08	 2.4811E-09	 5.9658E-09
2.691	 4.3610E-08	 2.6932E-09	 5.8684E-09
2.812	 4.6827E-08	 2.9983E-09	 6.2491E-09
2.933	 4.5013E-08	 3.0741E-09	 6.0418E-09
3.055	 4.8700E-08	 3.3785E-09	 6.5410E-09
3.177	 4.7946E-08	 3.6435E-09	 6.6284E-09
3.298	 4.7794E-08	 3.7677E-09	 6.7424E-09
3.419	 4.9196E-08	 4.0152E-09	 7.1191E-09
3.541	 5.5909E-08	 5.2672E-09	 8.6606E-09
3.663	 5.2093E-08	 4.8373E-09	 8.2094E-09
3.784	 5.5748E-08	 6.0319E-09	 9.5372E-09
3.905	 5.4870E-08	 6.5816E-09	 1.0051E-08
4.027	 6.9061E-08	 7.9808E-09	 1.2808E-08
4.148	 6.2169E-08	 7.6153E-09	 1.2149E-08
4.270	 6.5468E-08	 1.0089E-08	 1.4544E-08
4.391	 7.5369E-08	 1.1200E-08	 1.6917E-08
4.513	 9.1219E-08	 1.1847E-08	 2.0016E-08
4.634	 7.9856E-08	 1.5269E-08	 2.1294E-08
4.756	 8.9667E-08	 1.7971E-08	 2.5087E-08
4.877	 1.2258E-07	 1.7422E-08	 3.0565E-08
4.999	 7.8593E-08	 1.8178E-08	 2.4807E-08
5.120	 9.6979E-08	 2.1148E-08	 3.0384E-08
5.242	 8.4403E-08	 2.4724E-08	 3.1716E-08
5.363	 1.2156E-07	 3.3946E-08	 4.5237E-08
5.485	 1.4708E-07	 4.4778E-08	 5.8579E-08
5.606	 2.2080E-07	 5.6315E-08	 8.1651E-08
5.728	 1.9205E-07	 6.2130E-08	 8.2034E-08
5.849	 1.7637E-07	 6.9245E-08	 8.6112E-08
5.971	 1.8719E-07	 7.8808E-08	 9.6956E-08
6.092	 8.9965E-08	 1.5852E-07	 1.6101E-07
6.214	 3.4134E-07	 2.5955E-07	 2.8228E-07
6.335	 5.9582E-07	 2.9082E-07	 3.5340E-07
