#164Dy(3He,3He')164Dy from Renstroem et al., PRC 98, 054310 (2018)
#Data first presented in Nyhus et al., PRC 85, 014323 (2012)
#The err is the uncertainty straight out from rhosigchi.f
#The err_tot includes normalization uncertainties in D0,<Gg> and the spin distribution
#ACL, 4 April 2019
#Eg(MeV)	 f(MeV^-1)	 err(MeV^-1)	 err_tot(MeV^-1)
1.340	 1.6652E-08	 1.0928E-09	 2.4128E-09
1.460	 1.7912E-08	 1.1800E-09	 2.5615E-09
1.580	 1.5651E-08	 1.0889E-09	 2.2395E-09
1.700	 2.0375E-08	 9.5978E-10	 2.6934E-09
1.820	 2.5577E-08	 9.9779E-10	 3.2856E-09
1.940	 2.7621E-08	 9.9055E-10	 3.5039E-09
2.060	 3.0036E-08	 1.0293E-09	 3.7891E-09
2.180	 2.6279E-08	 1.1055E-09	 3.3804E-09
2.300	 3.0256E-08	 1.0674E-09	 3.8473E-09
2.420	 3.8291E-08	 1.0556E-09	 4.8343E-09
2.540	 4.3407E-08	 1.2708E-09	 5.5592E-09
2.660	 4.7184E-08	 1.2943E-09	 6.1113E-09
2.780	 5.0695E-08	 1.2992E-09	 6.6625E-09
2.900	 5.2928E-08	 1.5306E-09	 7.1323E-09
3.020	 4.7607E-08	 1.5703E-09	 6.6025E-09
3.140	 4.5898E-08	 1.5618E-09	 6.5308E-09
3.260	 4.4752E-08	 1.6851E-09	 6.5724E-09
3.380	 4.9724E-08	 1.7426E-09	 7.4691E-09
3.500	 5.2190E-08	 2.0281E-09	 8.1110E-09
3.620	 5.0127E-08	 1.9896E-09	 8.0284E-09
3.740	 4.5862E-08	 2.2007E-09	 7.6657E-09
3.860	 4.9485E-08	 2.0939E-09	 8.4436E-09
3.980	 5.2925E-08	 2.3459E-09	 9.3346E-09
4.100	 5.9878E-08	 2.8606E-09	 1.0939E-08
4.220	 5.9102E-08	 2.5728E-09	 1.1069E-08
4.340	 6.5045E-08	 3.2255E-09	 1.2656E-08
4.460	 7.2295E-08	 3.4312E-09	 1.4462E-08
4.580	 7.7120E-08	 3.9742E-09	 1.5977E-08
4.700	 7.3985E-08	 4.6038E-09	 1.6001E-08
4.820	 8.2082E-08	 5.2159E-09	 1.8304E-08
4.940	 7.9369E-08	 5.2363E-09	 1.8268E-08
5.060	 7.6209E-08	 6.2638E-09	 1.8426E-08
5.180	 7.5263E-08	 6.0884E-09	 1.8661E-08
5.300	 1.0237E-07	 9.3246E-09	 2.6421E-08
5.420	 1.0350E-07	 9.4234E-09	 2.7411E-08
5.540	 1.1290E-07	 9.8739E-09	 3.0544E-08
5.660	 1.1916E-07	 1.1878E-08	 3.3562E-08
5.780	 1.5280E-07	 1.4905E-08	 4.4000E-08
5.900	 1.6336E-07	 1.5432E-08	 4.8046E-08
6.020	 1.9415E-07	 2.1585E-08	 5.9614E-08
6.140	 1.9982E-07	 2.2257E-08	 6.2819E-08
6.260	 2.0292E-07	 2.6361E-08	 6.6683E-08
6.380	 2.5522E-07	 3.3394E-08	 8.5825E-08
6.500	 3.0777E-07	 3.5260E-08	 1.0397E-07
6.620	 2.3479E-07	 4.2013E-08	 8.7289E-08
6.740	 3.0699E-07	 4.7882E-08	 1.1318E-07
6.860	 3.1489E-07	 5.6022E-08	 1.2147E-07
6.980	 1.7257E-07	 5.4830E-08	 8.1650E-08
7.100	 1.8011E-07	 5.1724E-08	 8.2795E-08
7.220	 2.7643E-07	 6.9777E-08	 1.2322E-07
7.340	 2.8729E-07	 8.4166E-08	 1.3692E-07
