strfEr166
   No    Eg(MeV)    f(MeV**-3)    df(MeV**-3)
   6      1.585      0.948E-08      0.806E-09
   7      1.705      0.104E-07      0.888E-09
   8      1.825      0.124E-07      0.859E-09
   9      1.945      0.144E-07      0.829E-09
  10      2.065      0.139E-07      0.778E-09
  11      2.185      0.160E-07      0.825E-09
  12      2.305      0.169E-07      0.930E-09
  13      2.425      0.197E-07      0.906E-09
  14      2.545      0.212E-07      0.104E-08
  15      2.665      0.215E-07      0.119E-08
  16      2.785      0.245E-07      0.132E-08
  17      2.905      0.270E-07      0.141E-08
  18      3.025      0.269E-07      0.144E-08
  19      3.145      0.295E-07      0.148E-08
  20      3.265      0.288E-07      0.187E-08
  21      3.385      0.287E-07      0.215E-08
  22      3.505      0.275E-07      0.192E-08
  23      3.625      0.287E-07      0.176E-08
  24      3.745      0.302E-07      0.244E-08
  25      3.865      0.302E-07      0.221E-08
  26      3.985      0.287E-07      0.246E-08
  27      4.105      0.300E-07      0.322E-08
  28      4.225      0.352E-07      0.321E-08
  29      4.345      0.423E-07      0.424E-08
  30      4.465      0.438E-07      0.475E-08
  31      4.585      0.448E-07      0.529E-08
  32      4.705      0.420E-07      0.604E-08
  33      4.825      0.404E-07      0.590E-08
  34      4.945      0.557E-07      0.792E-08
  35      5.065      0.452E-07      0.779E-08
  36      5.185      0.693E-07      0.103E-07
  37      5.305      0.787E-07      0.124E-07
  38      5.425      0.856E-07      0.137E-07
  39      5.545      0.882E-07      0.164E-07
  40      5.665      0.683E-07      0.168E-07
  41      5.785      0.131E-06      0.268E-07
  42      5.905      0.998E-07      0.292E-07
  43      6.025      0.119E-06      0.345E-07
  44      6.145      0.163E-06      0.416E-07
  45      6.265      0.619E-07      0.395E-07
  46      6.385      0.178E-06      0.613E-07
