strfEr167
   No    Eg(MeV)    f(MeV**-3)    df(MeV**-3)
   5      1.440      0.103E-07      0.625E-09
   6      1.560      0.120E-07      0.547E-09
   7      1.680      0.131E-07      0.589E-09
   8      1.800      0.145E-07      0.525E-09
   9      1.920      0.156E-07      0.559E-09
  10      2.040      0.166E-07      0.565E-09
  11      2.160      0.182E-07      0.571E-09
  12      2.280      0.201E-07      0.634E-09
  13      2.400      0.205E-07      0.587E-09
  14      2.520      0.215E-07      0.663E-09
  15      2.640      0.245E-07      0.786E-09
  16      2.760      0.270E-07      0.793E-09
  17      2.880      0.297E-07      0.873E-09
  18      3.000      0.320E-07      0.962E-09
  19      3.120      0.328E-07      0.948E-09
  20      3.240      0.342E-07      0.110E-08
  21      3.360      0.339E-07      0.125E-08
  22      3.480      0.361E-07      0.129E-08
  23      3.600      0.335E-07      0.133E-08
  24      3.720      0.369E-07      0.152E-08
  25      3.840      0.383E-07      0.162E-08
  26      3.960      0.364E-07      0.147E-08
  27      4.080      0.359E-07      0.201E-08
  28      4.200      0.364E-07      0.225E-08
  29      4.320      0.410E-07      0.265E-08
  30      4.440      0.395E-07      0.314E-08
  31      4.560      0.506E-07      0.369E-08
  32      4.680      0.565E-07      0.439E-08
  33      4.800      0.496E-07      0.419E-08
  34      4.920      0.548E-07      0.492E-08
  35      5.040      0.579E-07      0.574E-08
  36      5.160      0.635E-07      0.781E-08
  37      5.280      0.539E-07      0.774E-08
  38      5.400      0.652E-07      0.921E-08
  39      5.520      0.530E-07      0.113E-07
  40      5.640      0.109E-06      0.171E-07
  41      5.760      0.113E-06      0.240E-07
  42      5.880      0.778E-07      0.242E-07
  43      6.000      0.108E-06      0.332E-07
  44      6.120      0.101E-06      0.374E-07
