#---EXFOR Request #8274
#---EXFOR Generalized Computational Output---
#=============================================================================
#DATASET        L0016012 
#NOW            2022/03/22:14:54:43
#SUBENT         L0016012   20180305
#ENTRY          L0016      20180305
#AUTHOR1        B.L.Berman+
#YEAR           1969
#X4REF1         J,PR,185,1576,196909
#REFERENCE1     Jour: Physical Review, Vol.185, p.1576 (1969)
#REACTION       (67-HO-165(G,2N)67-HO-163,,SIG)+(67-HO-165(G,2N+P)66-DY-162,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,2N),SIG)+((G,2N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#Proj-ZA     0 
#Targ-ZA     67165
#Prod        67-HO-163
#Prod-ZA     67163
#computDATA  50          4          12
#Data        Error       EN          Error       
#B           B           EV          EV          
 -0.0003     0.0008      1.3743e7    -0.         
 0.0015      0.001       1.4052e7    -0.         
 0.0003      0.001       1.4362e7    -0.         
 0.0012      0.0012      1.4672e7    -0.         
 0.0053      0.0013      1.4982e7    -0.         
 0.0167      0.002       1.5291e7    -0.         
 0.045       0.0025      1.5601e7    -0.         
 0.0735      0.003       1.5911e7    -0.         
 0.10367     0.00393     1.622e7     -0.         
 0.11132     0.00291     1.653e7     -0.         
 0.12807     0.00307     1.684e7     -0.         
 0.12282     0.00211     1.7149e7    -0.         
 0.11774     0.00301     1.7459e7    -0.         
 0.12262     0.00453     1.7769e7    -0.         
 0.11184     0.0032      1.8079e7    -0.         
 0.10618     0.00398     1.8388e7    -0.         
 0.09757     0.00394     1.8698e7    -0.         
 0.09308     0.00331     1.9008e7    -0.         
 0.09407     0.00341     1.9317e7    -0.         
 0.07271     0.00359     1.9627e7    -0.         
 0.06614     0.00407     1.9937e7    -0.         
 0.06881     0.00415     2.0246e7    -0.         
 0.06423     0.00426     2.0556e7    -0.         
 0.06291     0.0043      2.0866e7    -0.         
 0.06061     0.00454     2.1176e7    -0.         
 0.05489     0.00462     2.1485e7    -0.         
 0.05328     0.00529     2.1795e7    -0.         
 0.04101     0.00483     2.2105e7    -0.         
 0.03795     0.00526     2.2414e7    -0.         
 0.04409     0.00552     2.2724e7    -0.         
 0.04368     0.0052      2.3034e7    -0.         
 0.04378     0.00521     2.3343e7    -0.         
 0.0429      0.00535     2.3653e7    -0.         
 0.03725     0.00582     2.3963e7    -0.         
 0.0291      0.00602     2.4273e7    -0.         
 0.02721     0.00608     2.4582e7    -0.         
 0.03478     0.00614     2.4892e7    -0.         
 0.02824     0.00641     2.5202e7    -0.         
 0.0158      0.00606     2.5511e7    -0.         
 0.02275     0.00631     2.5821e7    -0.         
 0.02544     0.00675     2.6131e7    -0.         
 0.01528     0.00658     2.644e7     -0.         
 0.023       0.00668     2.675e7     -0.         
 0.01452     0.00668     2.706e7     -0.         
 -0.00056    0.00709     2.737e7     -0.         
 0.0017      0.00727     2.7679e7    -0.         
 0.00834     0.00526     2.7989e7    -0.         
 0.00198     0.00833     2.8299e7    -0.         
 0.00958     0.00889     2.8608e7    -0.         
 0.00158     0.01044     2.8918e7    -0.         
#/computDATA 50         3
#ENDDATASET     L0016012 
