#---EXFOR Request #8274
#---EXFOR Generalized Computational Output---
#=============================================================================
#DATASET        L0012011 
#NOW            2022/03/22:14:54:58
#SUBENT         L0012011   970129
#ENTRY          L0012      970129
#AUTHOR1        R.Bergere+
#YEAR           1968
#X4REF1         J,NP/A,121,463,6807
#REFERENCE1     Jour: Nuclear Physics, Section A, Vol.121, p.463 (1968)
#REACTION       (67-HO-165(G,N)67-HO-164,,SIG)+(67-HO-165(G,N+P)66-DY-163,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG)+((G,N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#Proj-ZA     0 
#Targ-ZA     67165
#Prod        67-HO-164
#Prod-ZA     67164
#computDATA  70          4          12
#Data        Error       EN          Error       
#B           B           EV          EV          
 0.0016      0.005       7.26e6      -0.         
 0.0022      0.00508     7.53e6      -0.         
 0.0021      0.00517     7.8e6       -0.         
 0.0159      0.00525     8.08e6      -0.         
 0.0306      0.00533     8.35e6      -0.         
 0.0379      0.00542     8.62e6      -0.         
 0.0478      0.0055      8.89e6      -0.         
 0.0558      0.00558     9.16e6      -0.         
 0.064       0.00567     9.44e6      -0.         
 0.0734      0.00575     9.71e6      -0.         
 0.0877      0.00583     9.98e6      -0.         
 0.1046      0.00592     1.025e7     -0.         
 0.1284      0.006       1.052e7     -0.         
 0.1667      0.00609     1.08e7      -0.         
 0.1998      0.00617     1.107e7     -0.         
 0.2368      0.00625     1.134e7     -0.         
 0.2885      0.00633     1.161e7     -0.         
 0.315       0.00642     1.188e7     -0.         
 0.3239      0.0065      1.216e7     -0.         
 0.3114      0.00658     1.243e7     -0.         
 0.2954      0.00667     1.27e7      -0.         
 0.2848      0.00675     1.297e7     -0.         
 0.2777      0.00683     1.324e7     -0.         
 0.2706      0.00692     1.352e7     -0.         
 0.2761      0.007       1.379e7     -0.         
 0.2826      0.00708     1.406e7     -0.         
 0.299       0.00717     1.433e7     -0.         
 0.2952      0.00725     1.46e7      -0.         
 0.3019      0.00734     1.488e7     -0.         
 0.2899      0.00742     1.515e7     -0.         
 0.2749      0.0075      1.542e7     -0.         
 0.2494      0.00758     1.569e7     -0.         
 0.2225      0.00767     1.596e7     -0.         
 0.1868      0.00775     1.624e7     -0.         
 0.1581      0.00783     1.651e7     -0.         
 0.1459      0.00792     1.678e7     -0.         
 0.1255      0.008       1.705e7     -0.         
 0.1037      0.00806     1.732e7     -0.         
 0.0888      0.00811     1.76e7      -0.         
 0.0737      0.00817     1.787e7     -0.         
 0.0604      0.00822     1.814e7     -0.         
 0.0522      0.00828     1.841e7     -0.         
 0.0439      0.00833     1.868e7     -0.         
 0.0399      0.00839     1.896e7     -0.         
 0.0289      0.00845     1.923e7     -0.         
 0.0259      0.0085      1.95e7      -0.         
 0.0236      0.00856     1.977e7     -0.         
 0.0202      0.00861     2.004e7     -0.         
 0.0197      0.00867     2.032e7     -0.         
 0.0241      0.00872     2.059e7     -0.         
 0.0255      0.00878     2.086e7     -0.         
 0.0238      0.00883     2.113e7     -0.         
 0.0321      0.00889     2.14e7      -0.         
 0.0201      0.00895     2.168e7     -0.         
 0.0263      0.009       2.195e7     -0.         
 0.0301      0.00906     2.222e7     -0.         
 0.0444      0.00911     2.249e7     -0.         
 0.0205      0.00917     2.276e7     -0.         
 0.0346      0.00922     2.304e7     -0.         
 0.0359      0.00928     2.331e7     -0.         
 0.0301      0.00933     2.358e7     -0.         
 0.0276      0.00939     2.385e7     -0.         
 0.0364      0.00944     2.412e7     -0.         
 0.0235      0.0095      2.44e7      -0.         
 0.0127      0.00956     2.467e7     -0.         
 0.0186      0.00961     2.494e7     -0.         
 0.0153      0.00972     2.548e7     -0.         
 0.0114      0.00978     2.576e7     -0.         
 -0.0033     0.00989     2.63e7      -0.         
 -0.0039     0.01        2.684e7     -0.         
#/computDATA 70         3
#ENDDATASET     L0012011 
