#---EXFOR Request #8274
#---EXFOR Generalized Computational Output---
#=============================================================================
#DATASET        L0016011 
#NOW            2022/03/22:14:53:56
#SUBENT         L0016011   20180305
#ENTRY          L0016      20180305
#AUTHOR1        B.L.Berman+
#YEAR           1969
#X4REF1         J,PR,185,1576,196909
#REFERENCE1     Jour: Physical Review, Vol.185, p.1576 (1969)
#REACTION       (67-HO-165(G,N)67-HO-164,,SIG)+(67-HO-165(G,N+P)66-DY-163,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG)+((G,N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#Proj-ZA     0 
#Targ-ZA     67165
#Prod        67-HO-164
#Prod-ZA     67164
#computDATA  68          4          12
#Data        Error       EN          Error       
#B           B           EV          EV          
 0.00458     0.00201     8.168e6     -0.         
 0.01762     0.00225     8.478e6     -0.         
 0.0279      0.00245     8.788e6     -0.         
 0.03608     0.00259     9.097e6     -0.         
 0.04254     0.00278     9.407e6     -0.         
 0.04814     0.00286     9.717e6     -0.         
 0.06682     0.00317     1.0026e7    -0.         
 0.07864     0.00319     1.0336e7    -0.         
 0.09951     0.00355     1.0646e7    -0.         
 0.13428     0.00407     1.0955e7    -0.         
 0.17332     0.00379     1.1265e7    -0.         
 0.2092      0.00386     1.1575e7    -0.         
 0.25478     0.00303     1.1885e7    -0.         
 0.27599     0.00398     1.2194e7    -0.         
 0.29091     0.00454     1.2504e7    -0.         
 0.26803     0.00413     1.2814e7    -0.         
 0.2582      0.00404     1.3123e7    -0.         
 0.24353     0.00383     1.3433e7    -0.         
 0.23987     0.00408     1.3743e7    -0.         
 0.23504     0.00426     1.4052e7    -0.         
 0.24339     0.00447     1.4362e7    -0.         
 0.25458     0.00475     1.4672e7    -0.         
 0.26541     0.00421     1.4982e7    -0.         
 0.25948     0.0055      1.5291e7    -0.         
 0.23124     0.00577     1.5601e7    -0.         
 0.19822     0.00616     1.5911e7    -0.         
 0.1441      0.00713     1.622e7     -0.         
 0.14288     0.00548     1.653e7     -0.         
 0.11395     0.00569     1.684e7     -0.         
 0.08488     0.00395     1.7149e7    -0.         
 0.07892     0.0057      1.7459e7    -0.         
 0.05568     0.00814     1.7769e7    -0.         
 0.03714     0.00598     1.8079e7    -0.         
 0.03413     0.00739     1.8388e7    -0.         
 0.0309      0.00747     1.8698e7    -0.         
 0.02524     0.00653     1.9008e7    -0.         
 0.00574     0.00674     1.9317e7    -0.         
 0.01613     0.0073      1.9627e7    -0.         
 0.0224      0.00821     1.9937e7    -0.         
 0.00558     0.00835     2.0246e7    -0.         
 -0.00018    0.00858     2.0556e7    -0.         
 -0.00262    0.0086      2.0866e7    -0.         
 -0.002      0.00897     2.1176e7    -0.         
 0.0011      0.00911     2.1485e7    -0.         
 -0.00723    0.0102      2.1795e7    -0.         
 0.01572     0.00958     2.2105e7    -0.         
 0.01499     0.0104      2.2414e7    -0.         
 0.0142      0.01073     2.2724e7    -0.         
 0.01172     0.0079      2.3034e7    -0.         
 0.00818     0.00787     2.3343e7    -0.         
 0.01458     0.00796     2.3653e7    -0.         
 0.01967     0.00826     2.3963e7    -0.         
 0.02961     0.00833     2.4273e7    -0.         
 0.025       0.00836     2.4582e7    -0.         
 0.00557     0.00842     2.4892e7    -0.         
 0.00743     0.0086      2.5202e7    -0.         
 0.02336     0.00809     2.5511e7    -0.         
 0.01916     0.00835     2.5821e7    -0.         
 0.01782     0.00869     2.6131e7    -0.         
 0.01267     0.00868     2.644e7     -0.         
 0.00891     0.00894     2.675e7     -0.         
 0.0198      0.00927     2.706e7     -0.         
 0.02172     0.01029     2.737e7     -0.         
 0.01234     0.01105     2.7679e7    -0.         
 0.02314     0.00834     2.7989e7    -0.         
 0.02346     0.0127      2.8299e7    -0.         
 0.00211     0.01387     2.8608e7    -0.         
 -0.01065    0.01733     2.8918e7    -0.         
#/computDATA 68         3
#ENDDATASET     L0016011 
