# fE1_exp_067_166_ARC.dat                         
#                                                 
# Z = 67, A = 166                                 
# No. of entries:            23                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.411     0.000   0.893E-07   0.460E-08
     5.428     0.000   0.627E-07   0.320E-08
     5.437     0.000   0.614E-07   0.640E-08
     5.473     0.000   0.722E-07   0.390E-08
     5.506     0.000   0.605E-07   0.320E-08
     5.523     0.000   0.715E-07   0.390E-08
     5.549     0.000   0.946E-07   0.490E-08
     5.608     0.000   0.107E-06   0.560E-08
     5.637     0.000   0.819E-07   0.880E-08
     5.644     0.000   0.770E-07   0.390E-08
     5.650     0.000   0.679E-07   0.350E-08
     5.684     0.000   0.765E-07   0.250E-08
     5.694     0.000   0.693E-07   0.210E-08
     5.720     0.000   0.670E-07   0.210E-08
     5.760     0.000   0.659E-07   0.140E-08
     5.771     0.000   0.813E-07   0.600E-08
     5.778     0.000   0.722E-07   0.530E-08
     5.812     0.000   0.922E-07   0.180E-08
     5.870     0.000   0.962E-07   0.210E-08
     5.894     0.000   0.104E-06   0.320E-08
     5.978     0.000   0.602E-07   0.158E-07
     5.981     0.000   0.942E-07   0.710E-08
     6.051     0.000   0.101E-06   0.210E-08
