# fM1_exp_067_166_ARC.dat                         
#                                                 
# Z = 67, A = 166                                 
# No. of entries:            18                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     5.418     0.000   0.133E-07   0.710E-08
     5.450     0.000   0.117E-07   0.690E-08
     5.453     0.000   0.129E-07   0.690E-08
     5.471     0.000   0.940E-08   0.490E-08
     5.483     0.000   0.116E-07   0.420E-08
     5.486     0.000   0.970E-08   0.350E-08
     5.501     0.000   0.143E-07   0.370E-08
     5.538     0.000   0.143E-07   0.370E-08
     5.591     0.000   0.149E-07   0.390E-08
     5.614     0.000   0.108E-07   0.560E-08
     5.680     0.000   0.109E-07   0.280E-08
     5.699     0.000   0.175E-07   0.600E-08
     5.767     0.000   0.960E-08   0.350E-08
     5.862     0.000   0.145E-07   0.210E-08
     5.912     0.000   0.195E-07   0.140E-08
     6.061     0.000   0.207E-07   0.110E-08
     6.071     0.000   0.177E-07   0.900E-09
     6.188     0.000   0.189E-07   0.110E-08
